１．運ぶ（はこぶ）　　荷物を運ぶ       ピアノを運ぶ          人を運ぶ
３４３．投げる（なげる）　ボールを投げる            　石を投げる（いしを）                    手紙を投げる
    投掷               投球。                       投石头。                     扔信件。
３４４．逃げる（にげる）　彼は逃げました            　泥棒が逃げる（どろぼうが）              猫が犬から逃げる
    逃跑               他逃跑了。                     小偷逃走了。                     猫从狗那里逃掉了。
３４５．落ちる（おちる）  鍵が落ちる             　　雨が落ちる                         　花が落ちる
    掉落               钥匙掉了。                     雨下了。                       花落了。
３４６．打つ（うつ）　　　ボールを打つ               電話を打つ                         　キーボードを打つ
    击打               打球。                       打电话。                     打字。
３４７．受ける（うける）　試験を受ける         　　　　電話を受ける                      　　プレゼントを受ける
    接受               参加考试。                     接电话。                     收到礼物。
３４８．届ける（とどける）荷物を届ける             　手紙を届ける                         報告書を届ける（ほうこくしょを）
    送达               送货物。                     送信件。                     递送报告。
３４９．壊す（こわす）　　彼は窓を壊した            機械を壊さないで（きかいをこわさないで）　　彼女は心を壊した（こころをこわした）
    破坏               他打破了窗户。                   请不要损坏机器。               她伤透了心。
３５０．決める（きめる）　彼は日付を決めた（ひづけをきめた）　私はメニューを決める              会議で計画を決めた（けいかく）
    决定               他决定了日期。                   我决定了菜单。               在会议上决定了计划。
３５１．動く（うごく）　　車が動く（うごく）        　犬が動く                         　　時計が動く
    动               汽车在动。                       狗在动。                       钟表在走。
３５２．直す（なおす）　　間違いを直す             　姿勢を直す（しせい）             　　　髪型を直す
    修复               纠正错误。                     纠正姿势。                     修正发型。
３５３．始める（はじめる）勉強を始める              仕事を始める                     　　ランニングを始める
    开始               开始学习。                     开始工作。                     开始跑步。
３５４．付く（つく）　　　名前を付ける            　ボタンが付いている                   シールを付ける
    贴上               给名字命名。                     按钮已装上。                   贴上标签。
３５５．決まる（きまる）　彼は日程を決めた（にっていを）会議の場所を決める（かいぎのばしょ）　　　勝者が決まる（しょうしゃ）
    确定               他确定了日程。                 决定会议的地点。                  决定胜者。
３５６．比べる（くらべる）品物を比べる             価格を比べる（かかく）                 能力を比べる（のうりょく）
    比较               比较商品。                     比较价格。                     比较能力。
３５７．移る（うつる）　　家を移る               　席を移る（せきを）                  　仕事を移る
    移动               搬家。                         移动座位。                     转职。
３５８．捕まえる（つかまえる）犯人を捕まえる（はんにんを）　魚を捕まえる                    彼を捕まえてください
    捕捉               抓住犯人。                     捕到鱼。                       请抓住他。
３５９．下げる（さげる）　音量を下げてください（おんりょうをさげて）　値段を下げる（ねだんをさげる）　速度を下げる（そくど）
    降低               请调低音量。                   降低价格。                     降低速度。
３６０．勝つ（かつ）　　　彼は試合に勝った      　私たちは勝つことができる               彼女は勝ち続けた（かちつづけた）
    胜利               他赢得了比赛。                   我们能够获胜。                   她持续获胜。
３６１．落とす（おとす）　鍵を落とした         　　ペンを落とす                        　荷物を落とす
    丢掉               丢失了钥匙。                     丢掉了笔。                     丢了行李。
３６２．起こす（おこす） 　風を起こす          　　　 問題を起こす（もんだい）           　火事を起こす
    引起               引起风。                       引起问题。                     引发火灾。
３６３．塗る（ぬる）　　　壁にペンキを塗る（かべ）  　リップを塗る                  　　　　日焼け止めを塗る（ひやけどめを）
    涂抹               在墙上涂漆。                     涂口红。                       涂防晒霜。
３６４．折る（おる）     紙を折る（おる）         腕を折る（うでをおる）                 角を折る（かどをおる）
    折叠               折纸。                         弄断手臂。                     折角。
３６５．触る（さわる）　　犬を触った（さわった）    花に触らないで（さわらないで）         　彼女の手を触る
    触碰               触摸狗。                       请不要触碰花。                   触摸她的手。
３６６．美しい（うつくしい）　　彼女は美しい    美しい景色だ（けしきだ）                美しい花が咲いた（さいた）
    美丽               她很美。                       风景很美。                     花开得很美。
３６７．浅い（あさい） 　川が浅い               浅い皿                            浅い呼吸（こきゅう）
    浅               河流很浅。                     浅盘子。                      浅呼吸。
３６８．深い（ふかい） 　海は深いです             彼の愛は深い                        森は深い闇だ（やみだ）
    深               海洋很深。                     他的爱很深。                   森林是一片深邃的黑暗。
３６９．細かい（こまかい）細かい字が読めない（こまかいじがよめない）　細かいお金を持っている　　　　細かい部分に注意ください
    细小               不能读细小的字。               拿着零钱。                     请注意细小的部分。
３７０．厳しい（きびしい）先生は厳しい             厳しいルール                      厳しい試験（しけん）
    严格               老师很严格。                   严格的规则。                     严格的考试。
３７１．優しい（やさしい）彼は優しい人です         彼女は声が優しい                    この布は優しい感じがする（かんじがする）
    温柔               他是个温柔的人。               她的声音很温柔。               这块布很柔软。
３７２．だから         雨が降る、だから傘を持っている　　試験がある、だから勉強する      　疲れた、だから早く寝る
    因此               下雨了，所以带了伞。           有考试，所以要学习。           累了，所以要早点睡。
３７３．十分（じゅうぶん）彼は十分に速い（はやい）　　十分に寒い                        十分に楽しい
    足够               他非常快。                     非常冷。                       非常有趣。
３７４．申し上げる（もうしあげる）　意見を申し上げる（いけん）　謝罪を申し上げる（しゃざいを）　感謝を申し上げる（かんしゃ）
    说               表达我的意见。                 致以歉意。                     表达感谢。
３７５．丁寧（ていねい）丁寧な言葉（ことば）       丁寧に説明する                    　丁寧な対応（たいおう）
    礼貌               礼貌的用语。                   礼貌地说明。                     礼貌的回应。
３７６．そんな     　　そんなことない           そんなに急いで（そんないそいで）        そんな話は聞いたことない
    这样的               不会是这样的。               不用急。                       没听过这样的事。
３７７．おっしゃる     先生がおっしゃる          おっしゃる通りです（とおりです）        何をおっしゃるんですか
    说               老师说。                       您说得对。                     您在说什么呢？
３７８．返事（へんじ）　彼は迅速に返事した（じんそくに）　返事を待っています              彼女から返事がない
    回答               他迅速回复了。                 在等待回复。                   没有收到她的回复。
３７９．申す（もうす）　申し訳ありません（もうしわけ）お名前は申してください              彼は申し出ました（もうしでました）
    说               非常抱歉。                     请告知您的名字。               他提出了请求。
３８０．おかげ     　　おかげで試験に合格した       彼のおかげで助かった（たすかった）　　おかげで元気になった
    感谢               多亏了通过了考试。             多亏了他得到了帮助。           多亏了我恢复了元气。
３８１．決して（けっして）決して諦めない（あきらめない）決して忘れない（わすれない）      決して許さない（ゆるさない）
    绝不               绝不放弃。                     绝不忘记。                     绝不原谅。
３８２．くれる        これをくれる               お金をくれた                  　朋友给我礼物。
    给               给我这个。                     给了我钱。                     朋友送给我礼物。
３８３．もし          もし雨が降ったら、家にいます　もし時間があれば、映画を見ます。　もし彼が来なかったら、電話してください
    如果               如果下雨，我会在家。           如果有时间，就看电影。           如果他不来，请给我打电话。
３８４．無理（むり）　　無理を言わないで            　無理な要求だ（ようきゅう）      無理して働く
    不可以             不要提出无理的要求。           这是不合理的要求。               勉强工作。
３８５．用意（ようい）　パーティーの用意をする     　　試験の用意ができた         　　旅行の用意を始める
    准备               准备派对。                     准备好考试。                     开始准备旅行。
３８６．なさる     　　先生がなさる               　何をなさいますか            　お母さんが料理をなさる
    做               老师会做。                     您要做什么？                   妈妈做饭。
３８７．ご存知（ごぞんじ）　彼は答えをご存じ          この歌をご存じですか          彼女はその店をご存じだ
    知道               他知道答案。                   您知道这首歌吗？               她知道那家店。
３８８．差し上げる（さしあげる）これを差し上げる       お茶を差し上げる         　　アドバイスを差し上げる
    赠送               送给您这个。                   为您提供茶水。                   给您建议。
３８９．確か（たしか）　たしかに彼は来た        　　確かな情報が欲しい（じょうほう）　彼女は確かに美しい（うつくしい）
    确实               确实他来了。                   想要确凿的信息。               她确实很美。
３９０．なるほど       なるほど、わかりました      なるほど、そういうことですね    なるほど、それが理由ですか（りゆうです）
    原来               原来如此，我明白了。             原来是这样啊。                 原来，这就是理由吗？
３９１．きっと     　　きっと成功する（せいこう） 　彼はきっと来る                きっと雨が降る
    一定               一定会成功。                   他一定会来。                   一定会下雨。
３９２．正しい（ただしい）答えが正しい             正しい道を選ぶ（えらぶ）        正しい時間に来た
    正确               答案是正确的。                 选择正确的道路。               按时到达。
３９３．似る（にる）　　彼は父に似る          　　　この絵は本物に似る（ほんもの）　　彼女は姉に似る
    相似               他像父亲。                     这幅画和真品很相似。               她像姐姐。
３９４．つもり         買い物にいくつもりです　　　　明日勉強するつもり            日本にいくつもりだ
    打算               打算去购物。                   打算明天学习。                   打算去日本。
３９５．うん          うん、分かった             うん、いいよ              　　うん、そうだね
    嗯                 嗯，我明白了。                 嗯，好的。                   嗯，是这样呢。
３９６．必ず（かならず）必ず勝ちます（かちます）    　必ず守ります（まもります）     必ず来ます（かならずきます）
    必须               一定会胜利。                   一定会遵守。                   一定会来。
３９７．非常に（ひじょうに）非常に寒いです          非常に速い（はやい）           非常に美味しい
    非常               非常寒冷。                     非常快。                       非常美味。
３９８．説明（せつめい）説明を聞く               　説明が必要（ひつよう）        説明を書きます（かく）
    说明               听说明。                       需要说明。                     写说明。
３９９．それで     　それで、彼は怒った（おこった）　それで、私は遅れました（おくれました）　それで、彼女は泣いた（ないた）
    所以               所以，他生气了。               所以，我迟到了。               所以，她哭了。
４００．しっかり     しっかり勉強しろ             しっかり握って（にぎって）     しっかり寝た
    好好               好好学习。                     紧紧握住。                   睡得很好。
４０１．そう      　　そう思います（おもいます）　　そう言ってた（いってた）       そう速くない
    是这样             我这么认为。                   他说过这样。                   不太快。
４０２．はず        彼はくるはずです             この薬は効くはずだ            明日は晴れるはず
    应该               他应该会来。                   这个药应该有效。               明天应该会晴天。
４０３．伝える（つたえる）彼に伝えてください　　　　　ニュースを伝える         　　感謝の気持ちを伝える
    传达               请传达给他。                   传达新闻。                   传达感谢的心情。
４０４．ご覧になる　　　先生がご覧になる           映画をご覧になる         　　新聞をご覧になる
    观看               老师会观看。                   您要看电影吗？               您要看报纸吗？
４０５．すると     　雨が降ると、傘をさす         彼女に話すと、笑った（わらった）ドアを開けると、猫が入った（はいった）
    于是               一下雨，就撑伞。               告诉她后，她笑了。               一打开门，猫就进来了。
４０６．ちっとも    ちっとも怖くない（こわくない）　ちっとも寒くない            ちっとも眠くない（ねむくない）
    一点也不         一点也不害怕。                   一点也不冷。                   一点也不困。
４０７．けれど　　　　雨が降るけれど、出かけます（でかけます）　疲れたけれど、勉強します　　高いけれど、買います
    不过               下雨了，但我还是要出门。           虽然累，但我要学习。               虽然贵，但我会买。
４０８．拝見（はいけん）先生の作品を拝見しました（さくひん）彼の写真を拝見できますか　　　　拝見させていただきます
    拜见               拜见了老师的作品。               能看他的照片吗？               请让我拜见。
４０９．そんなに    そんなに急がないで       　　そんなに高くない                そんなに遠くない
    这么               不用这么着急。                   不那么贵。                     不那么远。
４１０．それに     彼は頭がいい、それに、スポーツも得意だ　　　　このレストランは安い、それに、味もいい      　彼女は美しい。それに、性格もいい（せいかくもいい）
    而且               他聪明，而且擅长运动。           这家餐厅便宜，而且味道好。           她美丽，而且性格也好。
４１１．致す（いたす）お電話を致します       　　お詫びを致します（おわびをいたします）　お返事を致します（おへんじを）
    做                 我会打电话。                   我会致以歉意。                   我会回复您。
４１２．役に立つ（やくにたつ）　この本は役に立つ    彼は役に立つ人だ                　その情報は役に立つ（じょうほう）
    有用               这本书很有用。                   他是个很有用的人。               那个信息有用。
４１３．それほど　　それほど高くない          　　それほど遠くない                  それほど難しくない
    那么               不那么贵。                     不那么远。                     不那么难。
４１４．適当（てきとう）適当な服を選ぶ（えらぶ）　　適当な量を食べる              　　適当な距離を保つ（きょりをたもつ）
    适当               选择合适的衣服。               吃适量的食物。                   保持适当的距离。
４１５．間違える（まちがえる）名前を間違える　　　　時間を間違える                   道を間違える
    错误               错了名字。                     错过了时间。                   路走错了。
４１６．おかしい　　彼の話はおかしい          　　この味はおかしい              　　彼女の態度がおかしい（たいどがおかしい）
    奇怪               他的故事很奇怪。               这个味道很奇怪。               她的态度很奇怪。
４１７．あんな     あんな人は嫌い（きらい）　　　　あんなに高い                     あんな店は初めて
    那种               我讨厌那种人。                   那么高。                       那家店是第一次去。
４１８．はっきり　　彼ははっきり話す             はっきり答えてください          　　はっきりしない天気
    清楚               他讲得很清楚。                   请明确回答。                   不明确的天气。
４１９．知らせる（しらせる）　彼に知らせてください　試験の結果を知らせる（しけんのけっか）変更を知らせるメール（へんこうを）
    通知               请通知他。                     通知考试的结果。               通知更改的邮件。
４２０．例えば（たとえば）　　例えば、リンゴが好き　　例えば、雨が降る           　例えば、映画を見る
    例如               例如，我喜欢苹果。               例如，可能会下雨。               例如，看电影。
４２１．競争（きょうそう）　　競争が激しい（はげしい）　競争相手（あいて）             競争力がある（きょうそうりょく）
    竞争               竞争激烈。                     竞争对手。                     有竞争力。
４２２．貿易（ぼうえき）　　　貿易が増えました（ふえました）貿易は重要です（じゅうようです）貿易を勉強します
    贸易               贸易增加了。                   贸易很重要。                   学习贸易。
４２３．経済（けいざい）　　　経済が成長する（せいちょう）　経済が悪い（わるい）        経済の勉強
    经济               经济增长。                     经济不好。                     学习经济。
４２４．産業（さんぎょう）　　製造業は重要な産業だ（せいぞうぎょうはじゅうような）　　　日本の主要産業は何ですか（日本のしゅよう）　　　彼は産業界で働いている
    产业               制造业是重要产业。               日本的主要产业是什么？            他在产业界工作。
４２５．技術（ぎじゅつ）　　　彼は技術が高い          　　技術を磨く必要がある（みがくひつよう）　　　彼女は技術者です
    技术               他的技术很高。                   有必要提升技术。                   她是技术人员。
４２６．ファックス       　ファックスを送る（おくる）　　　ファックスが来た           ファックスを番号（ばんごう）
    传真               发送传真。                     收到了传真。                     传真号码。
４２７．ステレオ        　　ステレオ音楽を聞く     　　　ステレオシステムを買った 　　　ステレオのヘッドフォン
    立体声               听立体声音乐。                 买了立体声系统。                 立体声耳机。
４２８．スクリーン       　スクリーンが大きい          　スクリーンを見る           スクリーンを触る（さわる）
    屏幕               屏幕很大。                     看屏幕。                       触摸屏幕。
４２９．コンピューター     コンピューターを使う（つかう）　コンピューターが壊れた（こわれた）　　コンピューターを買う
    计算机             使用计算机。                   计算机坏了。                     买计算机。
４３０．ワープロ        　ワープロで文書をつくる（ぶんしょをつくる）　ワープロソフトを使う       ワープロの操作が上手（そうさがじょうず）
    文字处理           用文字处理软件制作文档。         使用文字处理软件。               文字处理操作很熟练。
４３１．パソコン        　パソコンを使う            　　パソコンを買う                   パソコンで勉強する
    个人电脑           使用个人电脑。                   买个人电脑。                   用个人电脑学习。
４３２．科学（かがく）　　　彼は科学が好きだ              科学は面白い              　　　　彼女は科学者だ（かがくしゃだ）
    科学               他喜欢科学。                     科学很有趣。                     她是科学家。
４３３．美術館（びじゅつかん）美術館に行こう（いこう）　　　　美術館はどこですか                美術館が好きです
    美术馆             去美术馆。                     美术馆在哪里？                   喜欢美术馆。
４３４．踊り（おどり）　　　踊りが上手です               　踊りを習いました              　踊りを見に行く
    舞蹈               舞蹈跳得很好。                   学习了舞蹈。                     去看舞蹈。
４３５．コンサート       　コンサートに行く       　　　コンサートが好き                 　コンサートのチケット
    音乐会             去音乐会。                     喜欢音乐会。                     音乐会的票。
４３６．漫画（まんが） 　　漫画を読む                 漫画家になる              　　　　　漫画雑誌を買う（まんがざっし）
    漫画               阅读漫画。                     想成为漫画家。                   买漫画杂志。
４３７．展覧会（てんらんかい）美術館で展覧会がある　　　　展覧会に行きましょう             　　彼は展覧会を開いた（ひらいた）
    展览会             美术馆有展览会。               去展览会吧。                   他举办了展览会。
４３８．文学（ぶんがく）　　彼は文学を勉強する（ぶんがくを）文学賞を受賞した（ぶんがくしょうをじゅしょうした）　　日本の文学は有名だ
    文学               学习文学。                     获得了文学奖。                     日本的文学很有名。
４３９．小説（しょうせつ）　彼は小説を読む           　彼女は小説家です（しょうせつか）       この小説は面白い
    小说               阅读小说。                     她是小说家。                     这本小说很有趣。
４４０．泥棒（どろぼう）　　泥棒が逃げた（にげた）       泥棒を捕まえた（つかまえた）      泥棒は窓から入った（はいった）
    小偷               小偷逃跑了。                   抓住小偷。                     小偷从窗户进入。
４４１．政治（せいじ）　　　彼は政治に興味がある（きょうみが）　政治家は国を導く（みちびく）      政治の勉強を始めた（はじめた）
    政治               他对政治感兴趣。               政治家引导国家。                     开始学习政治。
４４２．市民（しみん）　　　市民が集まる（あつまる）　　　市民の声を聞く                    　市民の権利（けんり）
    市民               市民聚集。                     听取市民的声音。                   市民的权利。
４４３．新聞社（しんぶんしゃ）彼は新聞社で働いている　　　新聞社は記事を書く（きじをかく）       新聞社は情報を提供する（じょうほうをていきょうする）
    新闻社             他在新闻社工作。               新闻社撰写文章。                   新闻社提供信息。
４４４．戦争（せんそう）　　戦争は怖い（こわい）     彼は戦争で死んだ（しんだ）            戦争を避ける（さける）
    战争               战争是可怕的。                 他在战争中死去。                   避免战争。
４４５．社会（しゃかい）　　彼は社会に貢献した（こうけんした）社会の問題を解決する（かいけつする）　彼女は社会学を勉強する（しゃかいがく）
    社会               他为社会做出了贡献。           解决社会问题。                   她学习社会学。
４４６．警察（けいさつ）　　警察が来た                警察を呼ぶ（よぶ）                　　彼は警察だ
    警察               警察来了。                     叫警察。                       他是警察。
